volume,mask
/home/veit-hucke/Data/OCT/retouch/cirrus/001.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/001.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/002.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/002.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/003.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/003.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/004.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/004.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/005.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/005.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/006.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/006.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/007.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/007.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/008.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/008.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/009.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/009.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/010.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/010.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/011.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/011.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/012.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/012.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/013.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/013.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/014.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/014.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/015.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/015.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/016.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/016.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/017.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/017.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/018.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/018.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/019.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/019.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/020.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/020.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/021.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/021.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/022.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/022.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/023.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/023.npy
/home/veit-hucke/Data/OCT/retouch/cirrus/024.npy,/home/veit-hucke/Data/OCT/retouch/annotations/cirrus/024.npy
