volume,mask
/home/veit-hucke/Data/OCT/retouch/spectralis/001.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/001.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/002.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/002.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/003.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/003.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/004.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/004.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/005.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/005.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/006.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/006.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/007.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/007.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/008.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/008.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/009.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/009.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/010.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/010.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/011.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/011.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/012.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/012.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/013.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/013.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/014.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/014.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/015.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/015.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/016.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/016.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/017.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/017.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/018.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/018.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/019.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/019.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/020.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/020.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/021.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/021.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/022.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/022.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/023.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/023.npy
/home/veit-hucke/Data/OCT/retouch/spectralis/024.npy,/home/veit-hucke/Data/OCT/retouch/annotations/spectralis/024.npy
